Date,sitename,Year,GCC,RCC,NDVI,NIRv
01/01/2017,Main,2017,0.350576446,0.438981363,0.501866983,0.046296023
02/01/2017,Main,2017,0.350576446,0.438981363,0.501866983,0.046296023
03/01/2017,Main,2017,0.350576446,0.438981363,0.501866983,0.046296023
04/01/2017,Main,2017,0.35002983,0.420586518,0.465185083,0.044921962
05/01/2017,Main,2017,0.348652965,0.421238423,0.503136217,0.044961361
06/01/2017,Main,2017,0.349350783,0.421890328,0.522861657,0.045131309
07/01/2017,Main,2017,0.349640141,0.422306641,0.522719474,0.045022984
08/01/2017,Main,2017,0.350445333,0.426636027,0.519094962,0.044917744
09/01/2017,Main,2017,0.354410775,0.433410163,0.50813485,0.043958569
10/01/2017,Main,2017,0.354503472,0.433493504,0.507654009,0.043996029
11/01/2017,Main,2017,0.354249229,0.433708084,0.539045509,0.044788414
12/01/2017,Main,2017,0.351518032,0.429176849,0.5379274,0.044451806
13/01/2017,Main,2017,0.349974871,0.428928689,0.592104181,0.049730308
14/01/2017,Main,2017,0.345796093,0.423856665,0.524852685,0.043692654
15/01/2017,Main,2017,0.344764612,0.423856665,0.547184075,0.044431407
16/01/2017,Main,2017,0.344713994,0.423853903,0.56760134,0.045529222
17/01/2017,Main,2017,0.343442204,0.423828116,0.56781577,0.045511897
18/01/2017,Main,2017,0.34209069,0.424891769,0.70186997,0.063042971
19/01/2017,Main,2017,0.340807683,0.428180074,0.706176332,0.063156983
20/01/2017,Main,2017,0.340731099,0.430055599,0.705182561,0.062776652
21/01/2017,Main,2017,0.339206492,0.431079535,0.529722307,0.04271175
22/01/2017,Main,2017,0.338743328,0.433409527,0.530007277,0.042449144
23/01/2017,Main,2017,0.338752253,0.434054274,0.530007277,0.042232173
24/01/2017,Main,2017,0.338761178,0.433055082,0.527686883,0.042060441
25/01/2017,Main,2017,0.338996706,0.431675859,0.52722815,0.042208676
26/01/2017,Main,2017,0.339685442,0.437531121,0.539172605,0.045194086
27/01/2017,Main,2017,0.340287487,0.438160039,0.572393662,0.047411986
28/01/2017,Main,2017,0.340460478,0.434445503,0.586009661,0.048976474
29/01/2017,Main,2017,0.341216131,0.434429085,0.528854645,0.043649128
30/01/2017,Main,2017,0.34365005,0.434990598,0.511812274,0.039705687
31/01/2017,Main,2017,0.34365005,0.434990598,0.511812274,0.039705687
01/02/2017,Main,2017,0.344197361,0.434905978,0.511812274,0.042141483
02/02/2017,Main,2017,0.348800629,0.432224599,0.473280213,0.042828652
03/02/2017,Main,2017,0.351443045,0.437261821,0.504164263,0.045116056
04/02/2017,Main,2017,0.352093031,0.43491054,0.532839343,0.048961944
05/02/2017,Main,2017,0.352021452,0.42651229,0.505998521,0.048484546
06/02/2017,Main,2017,0.352000964,0.423496454,0.50340195,0.048484546
07/02/2017,Main,2017,0.348205911,0.423977702,0.500125302,0.041577824
08/02/2017,Main,2017,0.349111261,0.436081524,0.480892215,0.042421291
09/02/2017,Main,2017,0.348886282,0.435843316,0.506682886,0.044095603
10/02/2017,Main,2017,0.348894621,0.435886491,0.527359746,0.045932266
11/02/2017,Main,2017,0.348531885,0.428845123,0.551156111,0.046765178
12/02/2017,Main,2017,0.348599561,0.428035411,0.538176276,0.046310862
13/02/2017,Main,2017,0.348736309,0.425589799,0.541542584,0.046525968
