"","UD","prrD","SD","pop1","interminD","pop2","DD","psrD","RD","trs_sos25_1","trs_sos50_1","trs_sos75_1","trs_eos90_1","trs_eos75_1","trs_eos50_1","trs_eos25_1","trs_sos25_2","trs_sos50_2","trs_sos75_2","trs_eos90_2","trs_eos75_2","trs_eos50_2","trs_eos25_2","Hyear","maxline1","maxline2","baseline","ampl1","ampl2","prr","psr","Gslope","Dslope","flag"
"df_CalDate","2014-09-16","2014-10-14","2014-11-11","2014-11-21","2015-02-02","2015-04-23","2015-04-29","2015-05-19","2015-06-08","2014-10-02","2014-10-14","2014-10-29","2014-12-04","2014-12-14","2014-12-26","2015-01-12","2015-02-18","2015-03-17","2015-04-02","2015-05-04","2015-05-11","2015-05-19","2015-05-29","H2015",0.398316393192503,0.394247615484666,0.344245337591437,0.0532318999979493,0.0500022778932287,0.00097606436763818,-0.00123239499112934,0.000887206044871636,-0.00115487457578282,"NT"
"df_CalDate1","2015-10-03","2015-10-24","2015-11-15","2016-01-15","2016-03-06","2016-04-19","2016-05-03","2016-06-01","2016-06-29","2015-10-16","2015-10-24","2015-11-03","2016-02-11","2016-02-27",NA,NA,NA,"2016-03-16","2016-03-31","2016-05-04","2016-05-16","2016-06-01","2016-06-14","H2016",0.396438833346237,0.424353076484932,0.343019884983575,0.0534189483626611,0.0764357373708632,0.00129291791482821,-0.00132123246211508,0.0003560341511887,-0.0011254744106435,"NT"
"df_CalDate2","2016-09-29","2016-10-31","2016-12-01","2016-12-14","2017-01-23","2017-03-27","2017-05-14","2017-06-03","2017-06-23","2016-10-19","2016-10-31","2016-11-22","2016-12-25","2017-01-04","2017-01-23",NA,NA,"2017-02-04","2017-03-03","2017-04-07","2017-04-18","2017-06-03","2017-06-12","H2017",0.378711670199844,0.384883698298836,0.34688426647838,0.0318274037214644,0.0365841804899259,0.000505863649745813,-0.000880821477450066,0.000427570460729313,-0.000338579902881535,"NT"
"df_CalDate3","2017-11-26","2017-12-22",NA,"2018-01-13","2018-02-10","2018-05-04","2018-05-14","2018-06-17","2018-07-21","2017-11-01","2017-12-22","2018-01-01","2018-01-21","2018-01-28","2018-02-10","2018-02-11","2018-02-27","2018-03-18","2018-04-09","2018-05-16","2018-05-28","2018-06-17","2018-07-03","H2018",0.359582187511503,0.399208616643077,0.345898595503818,0.0116202683807709,0.0533100211392595,0.000225786099225839,-0.000767787142289133,0.000225518026320244,-0.000690848471323734,"NT"
"df_CalDate4","2018-10-01","2018-10-28","2018-11-25","2018-12-08","2019-01-22","2019-04-29","2019-05-03","2019-05-24","2019-06-15","2018-10-16","2018-10-28","2018-11-11","2018-12-25","2019-01-03","2019-01-15",NA,NA,"2019-02-28","2019-04-08","2019-05-09","2019-05-16","2019-05-24","2019-06-06","H2019",0.373629630822298,0.390040076456237,0.344269165152433,0.0278081719944562,0.0457709113038038,0.000514830168195987,-0.00105348930011654,0.000485002261635019,-0.000996761081578803,"NT"
"df_CalDate5","2019-09-17","2019-10-27","2019-12-05","2019-12-17","2020-01-14","2020-05-03","2020-05-11","2020-05-31","2020-06-21","2019-10-04","2019-10-27","2019-11-18","2019-12-28","2020-01-06",NA,NA,NA,"2020-01-30","2020-03-05","2020-05-15","2020-05-22","2020-05-31","2020-06-10","H2020",0.380257756569543,0.401128050890049,0.342440144448729,0.0378176121208142,0.0516225651081728,0.000481109049003184,-0.00123868096408419,0.000426097625731811,-0.00116503302500567,"NT"
"df_CalDate6","2014-09-09","2014-10-18",NA,"2014-11-23","2015-02-08","2015-04-21","2015-04-27","2015-05-14","2015-06-01","2014-09-28","2014-10-18","2014-11-04","2014-12-07","2014-12-19","2014-12-31","2015-01-21","2015-02-25","2015-03-19","2015-04-02","2015-05-01","2015-05-07","2015-05-14","2015-05-22","H2015",0.376334751057673,0.391239684060106,0.333936056901512,0.0411211489247988,0.0573036271585937,0.000537283190181605,-0.00158880987780808,0.00058727612021639,-0.0015346197053393,"NPT"
"df_CalDate7","2015-10-03","2015-10-23","2015-11-13","2016-01-12","2016-03-07","2016-04-27","2016-05-09","2016-06-01","2016-06-25","2015-10-16","2015-10-23","2015-11-02","2016-02-05","2016-02-22",NA,NA,NA,"2016-03-10","2016-04-03","2016-05-13","2016-05-21","2016-06-01","2016-06-13","H2016",0.393781020279543,0.406585405996822,0.332677647226298,0.0611033730532444,0.0719218605959397,0.00151042956953629,-0.0015019868846154,0.000384577894742601,-0.00135093427747002,"NPT"
"df_CalDate8","2016-10-02","2016-11-04","2016-12-07","2016-12-13","2017-01-23","2017-03-26","2017-04-12","2017-05-24","2017-07-04","2016-10-22","2016-11-04","2016-11-23","2016-12-24","2017-01-04","2017-01-23",NA,NA,"2017-01-23","2017-02-19","2017-04-05","2017-04-12","2017-05-24","2017-06-05","H2017",0.381708066316553,0.380613734095142,0.333696015250614,0.0480120510659388,0.0467362253268062,0.000742227063987764,-0.000554988205310211,0.000710183699003536,-0.000439936682875393,"NPT"
"df_CalDate9","2017-11-25","2017-12-25",NA,"2018-01-21","2018-02-07","2018-04-28","2018-04-29","2018-06-11","2018-07-25","2017-11-22","2017-12-25","2018-01-06","2018-02-07","2018-02-08",NA,NA,"2018-02-14","2018-03-04","2018-04-07","2018-05-09","2018-05-17","2018-06-11","2018-06-28","H2018",0.358741900738303,0.395916971308122,0.334344394014038,0.0243975067242651,0.0513926594481562,0.000410763275773241,-0.000587761230596085,0.000421429554906534,-0.000631049556605774,"NPT"
