"","UD","prrD","SD","pop1","interminD","pop2","DD","psrD","RD","trs_sos25_1","trs_sos50_1","trs_sos75_1","trs_eos90_1","trs_eos75_1","trs_eos50_1","trs_eos25_1","trs_sos25_2","trs_sos50_2","trs_sos75_2","trs_eos90_2","trs_eos75_2","trs_eos50_2","trs_eos25_2","Hyear","maxline1","maxline2","baseline","ampl1","ampl2","prr","psr","Gslope","Dslope","flag"
"df_Caldoy","259","287","315","325","33","113","119","139","159","275","287","302","338","348","360","12","49","76","92","124","131","139","149","H2015",0.398316393192503,0.394247615484666,0.344245337591437,0.0532318999979493,0.0500022778932287,0.00097606436763818,-0.00123239499112934,0.000887206044871636,-0.00115487457578282,"NT"
"df_Caldoy1","276","297","319","15","66","110","124","153","181","289","297","307","42","58",NA,NA,NA,"76","91","125","137","153","166","H2016",0.396438833346237,0.424353076484932,0.343019884983575,0.0534189483626611,0.0764357373708632,0.00129291791482821,-0.00132123246211508,0.0003560341511887,-0.0011254744106435,"NT"
"df_Caldoy2","273","305","336","349","23","86","134","154","174","293","305","327","360","4","23",NA,NA,"35","62","97","108","154","163","H2017",0.378711670199844,0.384883698298836,0.34688426647838,0.0318274037214644,0.0365841804899259,0.000505863649745813,-0.000880821477450066,0.000427570460729313,-0.000338579902881535,"NT"
"df_Caldoy3","330","356",NA,"13","41","124","134","168","202","305","356","1","21","28","41","42","58","77","99","136","148","168","184","H2018",0.359582187511503,0.399208616643077,0.345898595503818,0.0116202683807709,0.0533100211392595,0.000225786099225839,-0.000767787142289133,0.000225518026320244,-0.000690848471323734,"NT"
"df_Caldoy4","274","301","329","342","22","119","123","144","166","289","301","315","359","3","15",NA,NA,"59","98","129","136","144","157","H2019",0.373629630822298,0.390040076456237,0.344269165152433,0.0278081719944562,0.0457709113038038,0.000514830168195987,-0.00105348930011654,0.000485002261635019,-0.000996761081578803,"NT"
"df_Caldoy5","260","300","339","351","14","124","132","152","173","277","300","322","362","6",NA,NA,NA,"30","65","136","143","152","162","H2020",0.380257756569543,0.401128050890049,0.342440144448729,0.0378176121208142,0.0516225651081728,0.000481109049003184,-0.00123868096408419,0.000426097625731811,-0.00116503302500567,"NT"
"df_Caldoy6","252","291",NA,"327","39","111","117","134","152","271","291","308","341","353","365","21","56","78","92","121","127","134","142","H2015",0.376334751057673,0.391239684060106,0.333936056901512,0.0411211489247988,0.0573036271585937,0.000537283190181605,-0.00158880987780808,0.00058727612021639,-0.0015346197053393,"NPT"
"df_Caldoy7","276","296","317","12","67","118","130","153","177","289","296","306","36","53",NA,NA,NA,"70","94","134","142","153","165","H2016",0.393781020279543,0.406585405996822,0.332677647226298,0.0611033730532444,0.0719218605959397,0.00151042956953629,-0.0015019868846154,0.000384577894742601,-0.00135093427747002,"NPT"
"df_Caldoy8","276","309","342","348","23","85","102","144","185","296","309","328","359","4","23",NA,NA,"23","50","95","102","144","156","H2017",0.381708066316553,0.380613734095142,0.333696015250614,0.0480120510659388,0.0467362253268062,0.000742227063987764,-0.000554988205310211,0.000710183699003536,-0.000439936682875393,"NPT"
"df_Caldoy9","329","359",NA,"21","38","118","119","162","206","326","359","6","38","39",NA,NA,"45","63","97","129","137","162","179","H2018",0.358741900738303,0.395916971308122,0.334344394014038,0.0243975067242651,0.0513926594481562,0.000410763275773241,-0.000587761230596085,0.000421429554906534,-0.000631049556605774,"NPT"
"df_Caldoy10","289","310","331","332","22","115","122","142","162","300","310","319","358","5","22",NA,NA,"50","94","127","134","142","152","H2019",0.382696884994841,0.393052811534923,0.343001461266492,0.0373314939323738,0.0500513502684313,0.000917054722720273,-0.00121730131544452,0.000896772386312044,-0.00113164485870007,"NPT"
"df_Caldoy11","270","303","336","350","14","114","130","154","178","289","303","323","362","6",NA,NA,NA,NA,"81","134","143","154","166","H2020",0.387044854655262,0.389168022544551,0.341727416381196,0.0453174382740664,0.0459014712809614,0.00069445463495643,-0.000948472270760632,0.000587446160419567,-0.000785822458758866,"NPT"
"df_Caldoy12",NA,NA,NA,"20","68","112","123","153","184",NA,NA,NA,NA,NA,NA,NA,NA,"68","91","126","137","153","168","H2016",0.378528213292855,0.392218002875534,0.328686395786013,NA,0.0634894716401755,NA,-0.00101961707372238,NA,-0.000953977821419357,"CT"
"df_Caldoy13","268","311","353","354","25","88","117","147","176","295","311","334","365","12",NA,NA,NA,"35","63","99","106","147","158","H2017",0.354340185048738,0.362588191086777,0.327864463342226,0.0264757217065122,0.0331761710791985,0.000315393896105667,-0.000546498242276453,0.000335513395607686,-0.000334845757916243,"CT"
"df_Caldoy14","301","347",NA,"15","42","123","133","165","197","316","347","364","25","32",NA,NA,"49","66","88","135","145","165","179","H2018",0.341976870971606,0.367594208003307,0.328007793795468,0.0127999464218329,0.0395864142078394,0.000141153093901984,-0.000606709741349882,0.000174036655860696,-0.00056338724982524,"CT"
"df_Caldoy15","281","305","329","331","41","118","123","142","161","292","305","316","343","10",NA,NA,NA,"54","80","129","134","142","152","H2019",0.352621367589954,0.363395053449862,0.327368802434728,0.0250411530723131,0.0360262510151333,0.000527043710066084,-0.00092182080940732,0.000513262610313047,-0.000880755522981909,"CT"
"df_Caldoy16","275","310","345","351","13","119","127","149","171","295","310","329","362","8",NA,NA,NA,"21","60","132","140","149","161","H2020",0.362134122273633,0.380037275849751,0.32854189276981,0.0335922295038226,0.0502413869278688,0.0004855110551002,-0.00112700135663033,0.000482719529483251,-0.00103552805395332,"CT"
